ID,USD,EUR,JPY,GBP,CAD,CHF,INR,SGD,CNY,HKD,KRW,BRL,PHP,MXN,XAU,XAG,XPD,XPT,XBT,ETH,LTC,RVN,XBC,FCT,BNB,XLM,ADA,XMR,DASH,ZEC,DCR
0,1.0000,1.1095,0.0093,1.2140,0.7509,1.0200,0.0139,0.7213,0.1418,0.1274,0.0008,0.2470,0.0191,0.0503,1502.3450,16.9800,1482.5137,854.4598,10710.2300,200.8450,78.4350,0.0338,322.6750,3.3471,28.6778,0.0707,0.0501,87.5430,93.7126,53.6410,26.2580
1,1.0000,1.1094,0.0093,1.2141,0.7510,1.0200,0.0139,0.7213,0.1418,0.1274,0.0008,0.2469,0.0191,0.0504,1501.5015,16.9764,1482.5137,854.4598,10708.6270,200.1174,76.2598,0.0339,320.3208,3.3667,28.7605,0.0705,0.0499,87.7089,96.8538,53.6047,26.1919
2,1.0000,1.1095,0.0093,1.2143,0.7510,1.0201,0.0139,0.7212,0.1418,0.1274,0.0008,0.2470,0.0191,0.0504,1502.3350,16.9775,1482.5137,854.4598,10710.2300,200.8450,78.4350,0.0338,322.6750,3.3471,28.6778,0.0707,0.0501,87.5430,93.7126,53.6410,26.2580
3,1.0000,1.1095,0.0093,1.2143,0.7510,1.0201,0.0139,0.7212,0.1418,0.1274,0.0008,0.2470,0.0191,0.0504,1502.3350,16.9775,1482.5137,854.4598,10710.2300,200.8450,78.4350,0.0338,322.6750,3.3471,28.6778,0.0707,0.0501,87.5430,93.7126,53.6410,26.2580
4,1.0000,1.1094,0.0093,1.2141,0.7510,1.0200,0.0139,0.7213,0.1418,0.1274,0.0008,0.2469,0.0191,0.0504,1501.5015,16.9764,1482.5137,854.4598,10708.6270,200.1174,76.2598,0.0339,320.3208,3.3667,28.7605,0.0705,0.0499,87.7089,96.8538,53.6047,26.1919
5,1.0000,1.1093,0.0093,1.2141,0.7509,1.0201,0.0139,0.7212,0.1418,0.1274,0.0008,0.2470,0.0191,0.0504,1501.5015,16.9782,1482.5137,854.4598,10693.5408,200.1819,76.3075,0.0339,320.6659,3.3471,28.6771,0.0708,0.0502,87.6103,96.5155,53.6750,26.2618
6,1.0000,1.1095,0.0093,1.2143,0.7510,1.0201,0.0139,0.7212,0.1418,0.1274,0.0008,0.2470,0.0191,0.0504,1502.3350,16.9775,1482.5137,854.4598,10710.2300,200.8450,78.4350,0.0338,322.6750,3.3471,28.6778,0.0707,0.0501,87.5430,93.7126,53.6410,26.2580
7,1.0000,1.1095,0.0093,1.2143,0.7510,1.0201,0.0139,0.7212,0.1418,0.1274,0.0008,0.2470,0.0191,0.0504,1502.3350,16.9775,1482.5137,854.4598,10710.2300,200.8450,78.4350,0.0338,322.6750,3.3471,28.6778,0.0707,0.0501,87.5430,93.7126,53.6410,26.2580
8,1.0000,1.1094,0.0093,1.2141,0.7510,1.0200,0.0139,0.7213,0.1418,0.1274,0.0008,0.2469,0.0191,0.0504,1501.5015,16.9764,1482.5137,854.4598,10708.6270,200.1174,76.2598,0.0339,320.3208,3.3667,28.7605,0.0705,0.0499,87.7089,96.8538,53.6047,26.1919
9,1.0000,1.1094,0.0093,1.2141,0.7510,1.0200,0.0139,0.7213,0.1418,0.1274,0.0008,0.2469,0.0191,0.0504,1501.5015,16.9764,1482.5137,854.4598,10708.6270,200.1174,76.2598,0.0339,320.3208,3.3667,28.7605,0.0705,0.0499,87.7089,96.8538,53.6047,26.1919
10,1.0000,1.1094,0.0093,1.2141,0.7510,1.0200,0.0139,0.7213,0.1418,0.1274,0.0008,0.2469,0.0191,0.0504,1501.5015,16.9764,1482.5137,854.4598,10708.6270,200.1174,76.2598,0.0339,320.3208,3.3667,28.7605,0.0705,0.0499,87.7089,96.8538,53.6047,26.1919
11,1.0000,1.1093,0.0093,1.2141,0.7509,1.0201,0.0139,0.7212,0.1418,0.1274,0.0008,0.2470,0.0191,0.0504,1502.3800,16.9795,1484.9794,855.4905,10710.2300,200.8450,78.4350,0.0339,322.6750,3.3471,28.6771,0.0708,0.0502,87.6103,93.7126,53.6750,26.2618
12,1.0000,1.1095,0.0093,1.2143,0.7510,1.0201,0.0139,0.7212,0.1418,0.1274,0.0008,0.2470,0.0191,0.0504,1502.3350,16.9775,1482.5137,854.4598,10710.2300,200.8450,78.4350,0.0338,322.6750,3.3471,28.6778,0.0707,0.0501,87.5430,93.7126,53.6410,26.2580
13,1.0000,1.1095,0.0093,1.2143,0.7510,1.0201,0.0139,0.7212,0.1418,0.1274,0.0008,0.2470,0.0191,0.0504,1502.3350,16.9775,1482.5137,854.4598,10710.2300,200.8450,78.4350,0.0338,322.6750,3.3471,28.6778,0.0707,0.0501,87.5430,93.7126,53.6410,26.2580
14,1.0000,1.1095,0.0093,1.2143,0.7510,1.0201,0.0139,0.7212,0.1418,0.1274,0.0008,0.2470,0.0191,0.0504,1502.3350,16.9775,1482.5137,854.4598,10710.2300,200.8450,78.4350,0.0338,322.6750,3.3471,28.6778,0.0707,0.0501,87.5430,93.7126,53.6410,26.2580
15,1.0000,1.1094,0.0093,1.2141,0.7510,1.0200,0.0139,0.7213,0.1418,0.1274,0.0008,0.2469,0.0191,0.0504,1501.5015,16.9764,1482.5137,854.4598,10708.6270,200.1174,76.2598,0.0339,320.3208,3.3667,28.7605,0.0705,0.0499,87.7089,96.8538,53.6047,26.1919
16,1.0000,1.1094,0.0093,1.2141,0.7510,1.0200,0.0139,0.7213,0.1418,0.1274,0.0008,0.2469,0.0191,0.0504,1501.5015,16.9764,1482.5137,854.4598,10708.6270,200.1174,76.2598,0.0339,320.3208,3.3667,28.7605,0.0705,0.0499,87.7089,96.8538,53.6047,26.1919
17,1.0000,1.1095,0.0093,1.2143,0.7510,1.0201,0.0139,0.7212,0.1418,0.1274,0.0008,0.2470,0.0191,0.0504,1502.3350,16.9775,1482.5137,854.4598,10710.2300,200.8450,78.4350,0.0338,322.6750,3.3471,28.6778,0.0707,0.0501,87.5430,93.7126,53.6410,26.2580
18,1.0000,1.1094,0.0093,1.2141,0.7510,1.0200,0.0139,0.7213,0.1418,0.1274,0.0008,0.2469,0.0191,0.0504,1501.5015,16.9764,1482.5137,854.4598,10708.6270,200.1174,76.2598,0.0339,320.3208,3.3667,28.7605,0.0705,0.0499,87.7089,96.8538,53.6047,26.1919
19,1.0000,1.1095,0.0093,1.2140,0.7509,1.0200,0.0139,0.7213,0.1418,0.1274,0.0008,0.2470,0.0191,0.0503,1502.3450,16.9800,1482.5137,854.4598,10710.2300,200.8450,78.4350,0.0338,322.6750,3.3471,28.6778,0.0707,0.0501,87.5430,93.7126,53.6410,26.2580
20,1.0000,1.1095,0.0093,1.2143,0.7510,1.0201,0.0139,0.7212,0.1418,0.1274,0.0008,0.2470,0.0191,0.0504,1502.3350,16.9775,1482.5137,854.4598,10710.2300,200.8450,78.4350,0.0338,322.6750,3.3471,28.6778,0.0707,0.0501,87.5430,93.7126,53.6410,26.2580
21,1.0000,1.1095,0.0093,1.2143,0.7510,1.0201,0.0139,0.7212,0.1418,0.1274,0.0008,0.2470,0.0191,0.0504,1502.3350,16.9775,1482.5137,854.4598,10710.2300,200.8450,78.4350,0.0338,322.6750,3.3471,28.6778,0.0707,0.0501,87.5430,93.7126,53.6410,26.2580
