ID,USD,EUR,JPY,GBP,CAD,CHF,INR,SGD,CNY,HKD,KRW,BRL,PHP,MXN,XAU,XAG,XPD,XPT,XBT,ETH,LTC,RVN,XBC,FCT,BNB,XLM,ADA,XMR,DASH,ZEC,DCR
0,1.0000,1.1240,0.0094,1.2278,0.7500,1.0262,0.0139,0.7209,0.1409,0.1274,0.0008,0.2446,0.0190,0.0501,1526.7175,17.4179,1462.7795,857.8021,10016.4033,188.3583,72.8220,0.0409,303.9943,3.8663,26.2791,0.0684,0.0490,80.2173,90.8334,49.4076,24.7251
1,1.0000,1.1240,0.0094,1.2278,0.7500,1.0262,0.0139,0.7209,0.1409,0.1274,0.0008,0.2446,0.0190,0.0501,1526.7175,17.4179,1462.7795,857.8021,10016.4033,188.3583,72.8220,0.0409,303.9943,3.8663,26.2791,0.0684,0.0490,80.2173,90.8334,49.4076,24.7251
2,1.0000,1.1240,0.0094,1.2278,0.7500,1.0262,0.0139,0.7209,0.1409,0.1274,0.0008,0.2446,0.0190,0.0501,1526.7175,17.4179,1462.7795,857.8021,10007.1900,188.3583,72.8220,0.0409,303.9943,3.8663,26.2791,0.0684,0.0490,80.2173,90.8334,49.4076,24.7251
3,1.0000,1.1240,0.0094,1.2278,0.7500,1.0262,0.0139,0.7209,0.1409,0.1274,0.0008,0.2446,0.0190,0.0501,1526.7175,17.4179,1462.7795,857.8021,10007.1900,188.3583,72.8220,0.0409,303.9943,3.8663,26.2791,0.0684,0.0490,80.2173,90.8334,49.4076,24.7251
4,1.0000,1.1240,0.0094,1.2278,0.7500,1.0262,0.0139,0.7209,0.1409,0.1274,0.0008,0.2446,0.0190,0.0501,1526.7175,17.4179,1462.7795,857.8021,10007.1900,188.3583,72.8220,0.0409,303.9943,3.8663,26.2791,0.0684,0.0490,80.2173,90.8334,49.4076,24.7251
5,1.0000,1.1240,0.0094,1.2278,0.7500,1.0262,0.0139,0.7209,0.1409,0.1274,0.0008,0.2446,0.0190,0.0501,1526.7175,17.4179,1462.7795,857.8021,10016.4033,188.3583,72.8220,0.0409,303.9943,3.8663,26.2791,0.0684,0.0490,80.2173,90.8334,49.4076,24.7251
6,1.0000,1.1240,0.0094,1.2278,0.7500,1.0262,0.0139,0.7209,0.1409,0.1274,0.0008,0.2446,0.0190,0.0501,1526.7175,17.4179,1462.7795,857.8021,10016.4033,188.3583,72.8220,0.0409,303.9943,3.8663,26.2791,0.0684,0.0490,80.2173,90.8334,49.4076,24.7251
7,1.0000,1.1240,0.0094,1.2278,0.7500,1.0262,0.0139,0.7209,0.1409,0.1274,0.0008,0.2446,0.0190,0.0501,1526.7175,17.4179,1462.7795,857.8021,10007.1900,188.3583,72.8220,0.0409,303.9943,3.8663,26.2791,0.0684,0.0490,80.2173,90.8334,49.4076,24.7251
8,1.0000,1.1240,0.0094,1.2278,0.7500,1.0262,0.0139,0.7209,0.1409,0.1274,0.0008,0.2446,0.0190,0.0501,1526.7175,17.4179,1462.7795,857.8021,10016.4033,188.3583,72.8220,0.0409,303.9943,3.8663,26.2791,0.0684,0.0490,80.2173,90.8334,49.4076,24.7251
9,1.0000,1.1140,0.0094,1.2287,0.7526,1.0257,0.0139,0.7209,0.1409,0.1275,0.0008,0.2446,0.0190,0.0501,1526.8500,17.4229,1462.7795,857.8021,10016.4033,188.3583,72.8220,0.0409,303.9943,3.8663,26.2791,0.0684,0.0490,80.2173,90.8334,49.4076,24.7251
