ID,USD,EUR,JPY,GBP,CAD,CHF,INR,SGD,CNY,HKD,KRW,BRL,PHP,MXN,XAU,XAG,XPD,XPT,XBT,ETH,LTC,RVN,XBC,FCT,BNB,XLM,ADA,XMR,DASH,ZEC,DCR
0,1.0000,1.1119,0.0094,1.2215,0.7520,1.0226,0.0139,0.7203,0.1398,0.1274,0.0008,0.2407,0.0190,0.0502,1533.7423,17.7232,1468.4934,857.5740,10333.2556,189.6609,74.2514,0.0360,308.6055,3.9799,26.1595,0.0700,0.0492,81.2699,92.3272,52.0470,24.7067
1,1.0000,1.1119,0.0094,1.2215,0.7520,1.0226,0.0139,0.7203,0.1398,0.1274,0.0008,0.2407,0.0190,0.0502,1533.7423,17.7232,1468.4934,857.5740,10333.2556,189.6609,74.2514,0.0360,308.6055,3.9799,26.1595,0.0700,0.0492,81.2699,92.3272,52.0470,24.7067
2,1.0000,1.1119,0.0094,1.2215,0.7520,1.0226,0.0139,0.7203,0.1398,0.1274,0.0008,0.2407,0.0190,0.0502,1533.7423,17.7232,1468.4934,857.5740,10333.2556,189.6609,74.2514,0.0360,308.6055,3.9799,26.1595,0.0700,0.0492,81.2699,92.3272,52.0470,24.7067
3,1.0000,1.1119,0.0094,1.2215,0.7520,1.0226,0.0139,0.7203,0.1398,0.1274,0.0008,0.2407,0.0190,0.0502,1533.7423,17.7232,1468.4934,857.5740,10333.2556,189.6609,74.2514,0.0360,308.6055,3.9799,26.1595,0.0700,0.0492,81.2699,92.3272,52.0470,24.7067
4,1.0000,1.1119,0.0094,1.2215,0.7520,1.0226,0.0139,0.7203,0.1398,0.1274,0.0008,0.2407,0.0190,0.0502,1533.7423,17.7232,1468.4934,857.5740,10338.1954,189.6609,74.2514,0.0360,308.6055,3.9799,26.1595,0.0700,0.0492,81.2699,92.3272,52.0470,24.7067
5,1.0000,1.1119,0.0094,1.2215,0.7520,1.0226,0.0139,0.7203,0.1398,0.1274,0.0008,0.2407,0.0190,0.0502,1533.7423,17.7232,1468.4934,857.5740,10333.2556,189.6609,74.2514,0.0360,308.6055,3.9799,26.1595,0.0700,0.0492,81.2699,92.3272,52.0470,24.7067
6,1.0000,1.1119,0.0094,1.2215,0.7520,1.0226,0.0139,0.7203,0.1398,0.1274,0.0008,0.2407,0.0190,0.0502,1533.7423,17.7232,1468.4934,857.5740,10333.2556,189.6609,74.2514,0.0360,308.6055,3.9799,26.1595,0.0700,0.0492,81.2699,92.3272,52.0470,24.7067
7,1.0000,1.1119,0.0094,1.2215,0.7520,1.0226,0.0139,0.7203,0.1398,0.1274,0.0008,0.2407,0.0190,0.0502,1533.7423,17.7232,1468.4934,857.5740,10333.2556,189.6609,74.2514,0.0360,308.6055,3.9799,26.1595,0.0700,0.0492,81.2699,92.3272,52.0470,24.7067
8,1.0000,1.1119,0.0094,1.2215,0.7520,1.0226,0.0139,0.7203,0.1398,0.1274,0.0008,0.2407,0.0190,0.0502,1533.7423,17.7232,1468.4934,857.5740,10333.2556,189.6609,74.2514,0.0360,308.6055,3.9799,26.1595,0.0700,0.0492,81.2699,92.3272,52.0470,24.7067
9,1.0000,1.1119,0.0094,1.2215,0.7520,1.0226,0.0139,0.7203,0.1398,0.1274,0.0008,0.2407,0.0190,0.0502,1533.7423,17.7232,1468.4934,857.5740,10333.2556,189.6609,74.2514,0.0360,308.6055,3.9799,26.1595,0.0700,0.0492,81.2699,92.3272,52.0470,24.7067
